Garamite_data	GARA	Komp	VISC	CATA
L1	0	2	5756	0,00
L2	0	2	7096	0,00
L3	0	2	6424	0,00
L4	0	2	5901	0,00
L5	2	2	15490	0,00
L6	2	2	15260	0,00
L7	2	2	14480	0,00
L8	2	2	13960	0,00
L9	0	1	6506	0,00
L10	0	1	7003	0,00
L11	0	1	6916	0,00
L12	0	1	6836	0,00
L13	2	1	10830	0,00
L14	2	1	13130	0,00
L15	2	1	12560	0,00
L16	2	1	12780	0,00
L17	0	2	12240	0,01
L18	0	2	10700	0,01
L19	0	2	7352	0,01
L20	0	2	6489	0,01
L21	2	2	20160	0,01
L22	2	2	17510	0,01
L23	2	2	15470	0,01
L24	2	2	13720	0,01
L25	0	1	6468	0,01
L26	0	1	6776	0,01
L27	0	1	6990	0,01
L28	0	1	7028	0,01
L29	2	1	10940	0,01
L30	2	1	11860	0,01
L31	2	1	12280	0,01
L32	2	1	12970	0,01
L33	0	2	15370	0,02
L34	0	2	11940	0,02
L35	0	2	8556	0,02
L36	0	2	7239	0,02
L37	2	2	26110	0,02
L38	2	2	20610	0,02
L39	2	2	16650	0,02
L40	2	2	16920	0,02
L41	0	1	6583	0,02
L42	0	1	7269	0,02
L43	0	1	7423	0,02
L44	0	1	7716	0,02
L45	2	1	11250	0,02
L46	2	1	12520	0,02
L47	2	1	13010	0,02
L48	2	1	14200	0,02
L49	0	2	17010	0,05
L50	0	2	13890	0,05
L51	0	2	11180	0,05
L52	0	2	10590	0,05
L53	2	2	46080	0,05
L54	2	2	25990	0,05
L55	2	2	24910	0,05
L56	2	2	26600	0,05
L57	0	1	6488	0,05
L58	0	1	7413	0,05
L59	0	1	6951	0,05
L60	0	1	8758	0,05
L61	2	1	11740	0,05
L62	2	1	13340	0,05
L63	2	1	13820	0,05
L64	2	1	15300	0,05
L65	0	2	20050	0,10
L66	0	2	17970	0,10
L67	0	2	16320	0,10
L68	0	2	16080	0,10
L69	2	2	51170	0,10
L70	2	2	34870	0,10
L71	2	2	35150	0,10
L72	2	2	38130	0,10
L73	0	1	6293	0,10
L74	0	1	8250	0,10
L75	0	1	9229	0,10
L76	0	1	9259	0,10
L77	2	1	12460	0,10
L78	2	1	15390	0,10
L79	2	1	15920	0,10
L80	2	1	16180	0,10
L81	0	2	28630	0,20
L82	0	2	29190	0,20
L83	0	2	31450	0,20
L84	0	2	33890	0,20
L85	2	2	53790	0,20
L86	2	2	59250	0,20
L87	2	2	54990	0,20
L88	2	2	59380	0,20
L89	0	1	7313	0,20
L90	0	1	8942	0,20
L91	0	1	10790	0,20
L92	0	1	10320	0,20
L93	2	1	12850	0,20
L94	2	1	16290	0,20
L95	2	1	17590	0,20
L96	2	1	16910	0,20
