#--- Principal Components -------
L1   indiv1	 1.445	 1.684	 1.583	 0.192	 0.178	 0.048	 0.016	
L2   Indiv2	-2.391	-0.499	 0.542	-0.097	-0.359	 0.139	 0.019	
L3   Indiv3	-2.133	 0.859	-0.362	 0.498	-0.049	-0.158	 0.048	
L4   Indiv4	 1.566	 2.082	-1.234	-0.750	-0.001	 0.046	 0.024	
L5   Indiv5	-1.650	 1.106	-0.570	 0.785	 0.022	 0.012	-0.062	
L6   Indiv6	-2.184	-0.724	 0.441	-0.693	 0.130	-0.131	-0.048	
L7   Indiv7	-2.532	-0.412	 0.309	-0.306	 0.130	 0.083	 0.018	
L8   Indiv8	-0.321	-1.994	-0.934	 0.185	 0.186	 0.057	 0.023	
L9   Indiv9	 2.629	-0.354	-0.146	 0.067	-0.064	 0.140	-0.054	
L10  Indiv10	 3.432	-1.409	 0.211	 0.282	 0.020	-0.036	 0.034	
L11  Indiv11	 2.138	-0.340	 0.159	-0.163	-0.192	-0.201	-0.018	

#--- Correlations Circle -------
HDR1		 0.389	 0.718	 0.576	 0.033	 0.015	 0.000	 0.000	
HDR2		-0.977	 0.009	 0.155	-0.071	-0.125	 0.036	-0.001	
HDR3		-0.925	 0.338	-0.094	 0.129	-0.016	-0.065	 0.020	
HDR4		 0.392	 0.813	-0.362	-0.231	-0.014	 0.009	 0.001	
HDR5		-0.853	 0.426	-0.182	 0.236	 0.025	 0.025	-0.020	
HDR 6		-0.956	-0.081	 0.132	-0.241	 0.036	-0.053	-0.016	
HDR7		-0.989	-0.009	 0.046	-0.099	 0.081	 0.059	 0.016	


